Date,Gemini,GDAX,Coinbase,Kraken,Poloniex,Bitstamp
2017-12-02 06-PM,10915.12,10918.46,10918.46,10866.2,10888.58,10888.58
2017-12-02 05-PM,10845.01,10870.43,10870.43,10824.9,10817.39,10817.39
2017-12-02 04-PM,10732.01,10784.46,10784.46,10770.1,10736.81,10736.81
2017-12-02 03-PM,10905.56,10922.96,10922.96,10807.6,10882.81,10882.81
2017-12-02 02-PM,11015.87,11020.01,11020.01,10989,11023.12,11023.12
2017-12-02 01-PM,11106.91,11094.5,11094.5,11075.1,11099.89,11099.89
2017-12-02 12-PM,10940.38,10963.19,10963.19,10915,10949,10949
2017-12-02 11-AM,11087.87,11090,11090,11113.4,11092.88,11092.88
2017-12-02 10-AM,11144.99,11099.98,11099.98,11120.3,11147.17,11147.17
2017-12-02 09-AM,10948.78,10969.33,10969.33,10937.1,10959.44,10959.44
2017-12-02 08-AM,10976.36,10965.89,10965.89,10964.8,10947.95,10947.95
2017-12-02 07-AM,10865.02,10875,10875,10911.5,10828.96,10828.96
2017-12-02 06-AM,10896.82,10910,10910,10876.6,10923,10923
2017-12-02 05-AM,10852.85,10872.5,10872.5,10824.1,10844.72,10844.72
2017-12-02 04-AM,10938.42,10939.86,10939.86,10964,10924.02,10924.02
2017-12-02 03-AM,11025.3,11005.11,11005.11,11026.5,11039.87,11039.87
2017-12-02 02-AM,11078.4,11029.99,11029.99,11038.7,11035,11035
2017-12-02 01-AM,10932.01,10935,10935,10969,10897.61,10897.61
2017-12-02 12-AM,10910.18,10869.84,10869.84,10896.1,10840.45,10840.45
2017-12-01 11-PM,10863.76,10836.16,10836.16,10824.6,10815,10815
2017-12-01 10-PM,10899.97,10895,10895,10925,10903.5,10903.5
2017-12-01 09-PM,10784.93,10760,10760,10803.5,10773.66,10773.66
2017-12-01 08-PM,10543.28,10530.05,10530.05,10610,10550.09,10550.09
2017-12-01 07-PM,10497.42,10451.49,10451.49,10550,10482.2,10482.2
2017-12-01 06-PM,10463.38,10426.55,10426.55,10499.7,10450,10450
2017-12-01 05-PM,10649.85,10621.6,10621.6,10712.6,10650.35,10650.35
2017-12-01 04-PM,10540.19,10518.76,10518.76,10598,10557.78,10557.78
2017-12-01 03-PM,10599,10594.65,10594.65,10580,10618.29,10618.29
2017-12-01 02-PM,10659.99,10628.34,10628.34,10777,10662.75,10662.75
2017-12-01 01-PM,10140.82,10124.02,10124.02,10251,10156,10156
2017-12-01 12-PM,9949.87,9936,9936,10010,9999.9,9999.9
2017-12-01 11-AM,9780.64,9793.67,9793.67,9871,9809,9809
2017-12-01 10-AM,10024.99,9990,9990,10066,10064.66,10064.66
2017-12-01 09-AM,9779.85,9790.06,9790.06,9875.1,9830,9830
2017-12-01 08-AM,9533.89,9540.46,9540.46,9585,9596.61,9596.61
2017-12-01 07-AM,9431.37,9540.46,9540.46,9638.8,9431,9431
2017-12-01 06-AM,9586.18,9575,9575,9729.3,9589,9589
2017-12-01 05-AM,9855.02,9824.03,9824.03,9935,9872.94,9872.94
2017-12-01 04-AM,9715.55,9679.35,9679.35,9827.3,9745.6,9745.6
2017-12-01 03-AM,9824.06,9790.09,9790.09,9897.8,9844.99,9844.99
2017-12-01 02-AM,9802.16,9795.68,9795.68,9906.5,9843.06,9843.06
